Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
371,371,415,624,293,1101,1606,1693,1229,431,303
372,372,287,367,177,849,1284,1345,850,313,238
373,373,469,624,227,857,2046,1963,1143,500,438
374,374,448,650,286,1056,1427,1820,1268,535,502
375,375,411,468,202,745,1346,1495,826,334,235
376,376,492,705,277,715,1393,1874,1273,497,362
377,377,582,802,369,983,2063,2176,1257,470,343
378,378,415,470,171,521,1187,1491,757,311,270
379,379,593,773,318,924,1961,2064,1257,502,334
380,380,373,454,195,604,1136,1282,915,485,419
381,381,438,809,294,623,1129,1561,1126,439,276
382,382,588,682,352,795,1629,2270,1422,421,328
383,383,670,860,498,913,1114,1733,1364,378,275
384,384,536,738,391,861,1292,2037,1305,520,387
385,385,411,662,462,910,790,1498,1272,360,277
386,386,509,643,392,826,986,1502,1244,323,271
387,387,554,541,293,749,1861,2300,1135,370,312
388,388,530,665,355,850,1554,1915,1122,440,349
389,389,420,717,338,505,708,1699,1210,527,294
390,390,405,599,332,756,1494,1745,1159,370,280
391,391,537,707,380,874,1199,1963,1241,349,352
392,392,576,815,436,1434,1190,1853,1333,404,319
393,393,417,583,322,771,1077,1324,1094,441,306
394,394,426,602,354,613,896,1699,1211,511,316
395,395,692,880,494,1949,2105,2328,1406,427,300
396,396,493,530,295,889,1801,1964,1076,373,335
397,397,504,793,436,739,867,1854,1351,532,464
398,398,448,628,312,694,1335,1861,1140,366,266
399,399,435,538,238,717,1569,1895,973,444,341
400,400,579,633,313,703,1561,2062,1286,480,317
401,401,347,552,290,484,979,1623,1140,604,475
402,402,374,487,214,362,587,1317,1128,538,351
403,403,621,569,276,915,2307,2354,1101,387,333
404,404,622,626,298,802,1555,2173,1275,515,284
405,405,497,694,418,1024,1678,1961,1221,366,325
406,406,553,738,380,903,1570,2176,1276,405,368
407,407,439,419,184,769,2120,1886,948,315,269
408,408,481,494,267,640,1287,1769,1217,417,227
409,409,875,1406,689,930,990,1487,852,331,219
410,410,358,457,288,480,873,1421,1077,608,518
411,411,388,416,180,661,1860,1915,945,315,212
412,412,561,656,344,1038,1846,1850,1200,321,290
413,413,504,591,265,405,1116,1869,1265,574,386
414,414,420,466,195,420,1708,1977,1225,475,256
415,415,410,420,239,502,1335,1599,859,429,353
416,416,393,340,195,472,1674,1684,926,381,201
417,417,511,615,321,623,995,1494,1371,935,1303
418,418,661,798,413,856,1419,2022,1631,896,818
419,419,487,680,355,761,998,1568,1337,783,778
420,420,265,381,218,440,483,991,1241,795,682
421,421,547,783,427,774,1095,1575,1639,816,810
422,422,471,672,376,715,975,1531,1476,735,809
423,423,767,840,439,867,1485,1888,1537,598,550
424,424,646,846,462,1013,1213,1920,1864,824,671
425,425,487,606,301,576,795,1516,1348,752,653
426,426,736,816,435,978,1611,1861,1561,590,411
427,427,832,1138,518,1059,1678,2107,1612,622,589
428,428,668,887,421,851,1262,1863,1508,741,568
429,429,934,1083,542,1073,1913,2362,1769,689,637
430,430,496,651,336,675,858,1477,1381,709,491
431,431,397,637,359,518,753,1461,1359,758,696
432,432,497,717,375,903,1333,1743,1496,606,531
433,433,410,538,296,608,812,1350,1318,687,553
434,434,720,857,344,547,1820,2191,1182,455,370
435,435,641,740,365,741,1335,1903,1374,576,447
436,436,437,797,348,582,605,1523,1366,714,633
437,437,794,801,294,897,1990,2299,1204,556,575
438,438,528,637,326,748,1055,1598,1275,555,475
439,439,414,564,300,574,818,1431,1252,638,547
440,440,720,926,431,955,1507,2001,1510,612,468
441,441,542,725,372,755,1020,1483,1116,415,287
