Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
516,516,6334,0,0,0,2640,0,0,0
517,517,7051,0,0,0,2576,0,0,0
518,518,8154,0,0,0,2810,0,0,0
519,519,8112,0,0,0,2905,0,0,0
520,520,6914,0,0,0,2750,0,0,0
521,521,8750,0,0,0,2886,0,0,0
522,522,10800,0,0,0,2849,0,0,0
523,523,5362,0,0,0,2810,0,0,0
524,524,6127,0,0,0,2582,0,0,0
525,525,7182,0,0,0,2545,0,0,0
526,526,6856,0,0,0,3109,0,0,0
527,527,7251,0,0,0,2760,0,0,0
528,528,7903,0,0,0,3633,0,0,0
529,529,8496,0,0,0,2570,0,0,0
530,530,6638,0,0,0,2475,0,0,0
531,531,6995,0,0,0,2147,0,0,0
532,532,5018,0,0,0,2194,0,0,0
533,533,7545,0,0,0,2477,0,0,0
534,534,7381,0,0,0,2536,0,0,0
535,535,8836,0,0,0,2569,0,0,0
536,536,6451,0,0,0,2425,0,0,0
537,537,7902,0,0,0,2292,0,0,0
538,538,8407,0,0,0,2117,0,0,0
539,539,7306,0,0,0,1705,0,0,0
540,540,6352,0,0,0,2207,0,0,0
541,541,6627,0,0,0,2212,0,0,0
542,542,6606,0,0,0,2011,0,0,0
543,543,11570,0,0,0,2233,0,0,0
544,544,7147,0,0,0,1907,0,0,0
545,545,7082,0,0,0,2301,0,0,0
546,546,8897,0,0,0,2631,0,0,0
547,547,10476,0,0,0,2433,0,0,0
548,548,8323,0,0,0,2800,0,0,0
549,549,7493,0,0,0,2464,0,0,0
550,550,6910,0,0,0,2281,0,0,0
551,551,7238,0,0,0,2029,0,0,0
552,552,7920,0,0,0,2479,0,0,0
553,553,7477,0,0,0,2111,0,0,0
554,554,12572,0,0,0,2566,0,0,0
555,555,9501,0,0,0,2337,0,0,0
556,556,4485,0,0,0,2268,0,0,0
557,557,3712,0,0,0,2137,0,0,0
558,558,5388,0,0,0,2757,0,0,0
559,559,5291,0,0,0,2711,0,0,0
