,st_areasha
725,3320185.7712095
726,3076211.259317
727,4904400.9583585
728,760390.662368
729,1229928.409086
730,1351338.580973
731,3589960.7858855
732,1493813.2671645
733,1147058.997307
734,2344904.215067
735,1043490.55845
736,801551.5615175
737,7716095.78661
738,1985297.4999115
739,731125.166952
740,875391.4594065
741,1704772.3691125
742,1513690.92539
743,1164787.055142
744,1400232.753938
745,955069.645122
746,678903.001944
747,603427.0737745
748,3498150.3818335
749,903181.705106
750,1272323.8471385
751,1877637.3825445
752,693337.415214
753,563880.3329405
754,2641797.4728405
755,4069284.4723285
756,1842424.4004195
757,1757616.554774
758,1086934.298503
759,1833008.174572
760,799218.3603555
761,1111606.465721
762,1244099.9897615
763,1336688.8579685
764,1450239.434729
765,12096528.3181305
766,1904090.119845
767,905869.340276
768,2462035.340059
769,1282321.098107
770,1833379.3012745
771,983173.38777
772,1444016.4751
773,1955428.9458415
774,3746059.62533
775,2745678.4599575
776,6857199.341413
777,707010.3904265
778,1046641.668534
779,758420.507786
780,680628.9167215
781,705511.6505415
782,895040.94984
783,984216.6845645
784,417987.9829165
785,760399.337922
786,662638.117635
787,586053.7243685
788,534503.474329
789,449805.4148125
790,724737.8376245
791,472150.374112
792,646198.021124
793,972476.722293
794,533885.9826325
795,548651.606251
796,679170.7125095
797,636963.841986
798,792338.965426
799,842171.3529055
800,798689.658634
801,844593.105531
802,824872.8706945
803,1214945.884643
804,1458153.068973
805,753591.738067
806,2378226.084394
807,1078097.8556785
808,2764847.1060775
809,1365128.616135
810,1157947.685553
811,1620990.976861
812,1268572.457672
813,1013622.0160565
814,1498886.6793245
815,1364923.290074
816,1544341.8625625
817,1154511.6876935
818,1209043.0159285
819,4985019.366829
820,1147297.0630375
821,936728.832508
822,1238572.7731225
823,1632899.7932185
824,1869559.1889475
825,1242812.5611795
826,1024009.2892235
827,1540022.720515
828,1709274.972536
829,873161.8521665
830,2565780.742451
831,6561009.1014235
832,1257171.5176795
833,459445.536536
834,1134576.6554325
835,815812.3980855
836,356615.9307225
837,319462.8567825
838,395469.3356325
839,668919.241187
840,458647.1712875
841,503243.1471065
842,344286.256086
843,666997.4530825
844,538628.9941815
845,806282.6987695
846,636625.991256
847,442486.518286
848,371543.9256325
849,704858.4143405
850,574023.28337
851,470320.9203335
852,545133.53933
853,334912.670268
854,490899.4121
855,578209.7282935
856,531892.0485605
857,578585.6508475
858,557641.333793
859,1522646.5666615
860,710675.991815
861,537972.369973
862,2200219.088029
863,2811111.7253115
864,1872847.1264555
865,1530966.5283465
866,1193582.7371545
867,1543270.911856
868,1722652.5381715
869,1221015.9400365
870,1972790.4779265
871,1458285.96375
872,1054650.7062685
873,616734.095367
874,892459.7107395
875,2359315.1337115
876,1393989.3426005
877,793493.89739
878,889915.239704
879,2498861.9483085
880,1055069.414654
881,698994.905132
882,1494677.6031425
883,2226293.7422975
884,681958.4665805
885,836309.0496525
886,558322.179545
887,1740041.6437635
888,847524.132333
889,648256.332279
890,1072799.153524
891,2026115.7973365
892,441661.738414
893,630069.3437515
894,449645.6367725
895,944048.621572
896,402991.9044455
897,809227.7316465
898,795582.118191
899,1271002.981847
900,1070828.246207
901,787059.3216945
902,1422282.5074865
903,898929.749197
904,1238027.591273
905,1760794.6202975
906,728541.058619
907,699859.2334505
908,1059799.753483
909,1014693.5292955
910,705038.38612
911,583411.4033315
912,2206694.8852185
913,1066078.798324
